"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Acetazolamide","Capsule (Extended Release)","II (Paddle)","75","Acetate Buffer, pH 4.5 with 2.2% Tween 20","900","1, 2, 5, 7, 9, 12 and 14 hours","01/15/2010"
"Acetazolomide","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Acetylcysteine","Tablet (Effervescent)","","","Develop a dissolution method","","","07/28/2016"
"Acitretin","Capsule","","","Refer to USP ","","","09/22/2011"
"Acrivastine/Pseudoephedrine HCl","Capsule","II (Paddle)","50","0.01 N HCl","900","5, 10, 15 and 30","01/12/2004"
"Acyclovir","Suspension","II (Paddle)","50","0.1 N HCl","900","10, 20, 30, 45 and 60","02/20/2004"
"Acyclovir","Capsule","","","Refer to USP ","","","01/05/2012"
"Acyclovir","Tablet (Buccal)","I (Basket)","60","Phosphate Buffer, pH 6.0","1000","1, 2, 3, 5, 7, 9 and 12 hours","08/27/2015"
"Acyclovir","Tablet","","","Refer to USP","","","06/18/2007"
"Adagrasib","Tablet","II (Paddle)","75","pH 6.8 phosphate buffer with 0.3% SLS","900","10, 15, 30, 45 and 60","02/05/2024"
"Adefovir Dipivoxil","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Afamelanotide","Implant","","","Develop a method to characterize in vitro release","","","05/18/2023"
"Afatinib Dimaleate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Albendazole","Tablet ","","","Refer to USP ","","","08/15/2013"
"Albendazole","Tablet (Chewable)","II (Paddle) ","50","0.1 N HCl","900","10, 15, 20, 30 and 45","03/17/2016"
"Albuterol Sulfate","Tablet (Extended Release)","II (Paddle)","50","0.1 N HCl","900","1, 2, 4, 6, 9 and 12 hours","04/09/2007"
"Albuterol Sulfate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alectinib HCl","Capsule ","II (Paddle) with sinker ","100","pH 1.2, Simulated Gastric Fluid without pepsin, containing 4 % Triton X-100 [polyoxyethylene[10]octylphenyl ether]","900","10, 20, 30, 45, 60, 75 and 90","03/17/2016"
"Alendronate Sodium","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alendronate Sodium/Cholecalciferol","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Alfuzosin HCl","Tablet (Extended Release)","II (Paddle)","100","0.01 N HCl","900","1, 2, 12, 20 hours","06/18/2007"
"Aliskiren Hemifumarate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Aliskiren Hemifumarate","Capsule (pellet)","I (Basket)","100","0.01 M HCl (degas)","500","5, 10, 15, 20, 30 and 45","02/08/2018"
"Aliskiren Hemifumarate/Amlodipine Besylate","Tablet","I (Basket) ","100","0.01 N HCl, pH 2.0","500","10, 15, 20, 30 and 45 ","06/07/2012"
"Aliskiren Hemifumarate/Amlodipine Besylate/Hydrochlorothiazide","Tablet","I (Basket) ","100","0.01 N HCl","900","10, 15, 20, 30 and 45 ","06/07/2012"
"Aliskiren Hemifumarate/Hydrochlorothiazide","Tablet","I (Basket)","100","0.1 N HCl ","900","10, 15, 20, 30 and 45","10/08/2009"
"Aliskiren Hemifumarate/Valsartan","Tablet ","I (Basket)","100","Phosphate Buffer, pH 6.8","1000","5, 10, 15, 20, 30 and 45 ","12/23/2010"
"Allopurinol","Suspension","II (Paddle)","75","0.01 N HCl","900","10, 20, 30, 40, 50 and 60","11/01/2024"
"Allopurinol","Tablet","","","Refer to USP","","","07/25/2007"
"Almotriptan Malate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alogliptin Benzoate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alogliptin Benzoate/ Metformin HCl","Tablet","II (Paddle)","50","0.01 N HCl","900","5, 10, 15, 20 and 30","11/19/2015"
"Alosetron HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alpelisib","Tablet","II (Paddle)","75","Acetate Buffer, pH 4.5 w/0.6% CTAB","900","10, 15, 20, 30 and 45","02/24/2025"
"Alprazolam","Tablet (Orally Disintegrating)","II (Paddle)","50","70 mM Potassium Phosphate Buffer, pH 6.0","500","2, 5, 10, 15 and 20","10/06/2008"
"Alprazolam","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Alprazolam","Tablet (Extended Release)","I (Basket)","100","1% Phosphate Buffer, pH 6.0","500","1, 4, 8, 12 and 16 hours","02/08/2007"
"Altretamine","Capsule","","","Refer to USP ","","","01/29/2010"
"Aluminum Hydroxide/Magnesium Trisilicate","Tablet (Chewable)","","","Develop a dissolution method","","","05/12/2022"
"Alvimopan","Capsule","II (Paddle","50","0.1 N HCl","900","5, 10, 15, 20, 30 and 45 ","10/21/2010"
"Amantadine HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Amantadine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Ambrisentan","Tablet","II (Paddle)","75","0.05 M Acetate Buffer, pH 5.0","900","5, 10, 15, 30, and 45","05/20/2009"
"Amifampridine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","08/19/2021"
"Amifampridine Phosphate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","08/19/2021"
"Amiloride HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Amiloride HCl/Hydrochlorothiazide","Tablet","","","Refer to USP","","","06/07/2012"
"Aminocaproic Acid","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","01/03/2024"
"Aminosalicylic","Granule (Delayed Release)","II (Paddle)","100","Acid Stage: 0.1 N HCl; Buffer Stage 2: pH 7.5 Phosphate Buffer","1000","Acid Stage: 2 hours; Buffer Stage: 1, 2, 3 and 4 hours","07/14/2008"
"Amiodarone HCl (Test 1)","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Amiodarone HCl (Test 2)","Tablet","I (Basket)","50","Acetate Buffer, pH 4.0, with 1% Tween 80","900","10, 20, 30, 45, 60 and 90","01/12/2004"
"Amitriptyline HCl","Tablet","","","Refer to USP","","","01/14/2008"
"Amlodipine Besylate","Tablet (Orally Disintegrating)","II (Paddle)","50","0.01 N HCl","500","5, 10, 15 and 20","10/06/2008"
"Amlodipine Besylate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Amlodipine Besylate/Atorvastatin Calcium","Tablet","II (Paddle)","75","Phosphate Buffer, pH 6.8","900","5, 10, 15 and 30","04/02/2009"
"Amlodipine Besylate/Benazepril HCl","Capsule","I (Basket)","100","0.01 N HCl","500","10, 20 , 30, 45, and 60","06/20/2007"
"Amlodipine Besylate/Hydrochlorothiazide/Olmesartan Medoxomil","Tablet ","II (Paddle) ","50","Phosphate Buffer, pH 6.8","900","5, 10, 15, 20, 30 and 45","07/21/2011"
"Amlodipine Besylate/Hydrochlorothiazide/Valsartan","Tablet ","","","Refer to USP ","","","07/28/2016"
"Amlodipine Besylate/Olmesartan Medoxomil","Tablet","II (Paddle)","50","Phosphate Buffer, pH 6.8","900","10, 20, 30 and 45","08/11/2008"
"Amlodipine besylate/Perindopril Arginine","Tablet ","II (Teflon coated paddle)","75","0.01 N HCL","1000","5, 10, 15, 20 and 30","03/17/2016"
"Amlodipine Besylate/Telmisartan","Tablet","II (Paddle)","75","Telmisartan: Phosphate Buffer, pH 7.5; Amlodipine: 0.01N HCl, pH 2","Telmisartan: 900; Amlodipine: 500","Telmisartan: 10, 15, 20, 30 and 45; Amlodipine: 10, 15, 20, 30 and 45","08/05/2010"
"Amlodipine Besylate/Valsartan","Tablet ","","","Refer to USP ","","","07/28/2016"
"Amoxicillin","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Amoxicillin","Tablet (Extended Release) ","II (Paddle)","100","3 Stage dissolution: 50 mM potassium phosphate monobasic buffer at pH 4.0 (0-2 hours), 6.0 (2-4 hours) and 6.8 ( 4 hours and beyond)","900","0.25, 0.5, 1, 2, 2.25, 2.5, 3, 4, 4.25, 4.5, 5 and 6 hours","10/21/2010"
"Amoxicillin","For Oral Suspension ","","","Develop a dissolution method","","","09/15/2023"
"Amoxicillin","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Amoxicillin/Clarithromycin/Lansoprazole","Capsule/Tablet/Capsule (Copackage)","","","Develop a dissolution method for Amoxicillin Capsules, Refer to USP for monographs of Clarithromycin Tablets and Lansoprazole Delayed-Release Capsules","","","01/03/2024"
"Amoxicillin/Clarithromycin/Omeprazole","Capsule/Tablet/Capsule (Copackage)","","","Develop a dissolution method for Amoxicillin Capsules, Refer to USP for monographs of Clarithromycin Tablets and Omeprazole Delayed-Release Capsules","","","01/03/2024"
"Amoxicillin/Clavulanate Potassium","Suspension","","","Develop a dissolution method","","","09/15/2023"
"Amoxicillin/Clavulanate Potassium","Tablet ","","","Develop a dissolution method","","","01/03/2024"
"Amoxicillin/Clavulanate Potassium","Tablet (Chewable)","","","Develop a dissolution method","","","09/15/2023"
"Amoxicillin/Omeprazole Mg./Rifabutin","Capsule (Delayed Release)","I (Basket","100","Amoxicillin/Rifabutin: 0.01 N HCl; Omeprazole: 0.1N HCl; Buffer Stage: 0.05M Phosphate buffer, pH 6.8","Amoxicillin/Rifabutin:900; Omeprazole: Acid Stage: 900; Buffer Stage:900;","Amoxicillin/Rifabutin: 5, 10, 15, 20 and 30; Omeprazole: Acid Stage: 120; Buffer Stage: 5, 10, 15, 20 and 30;","08/27/2020"
"Amoxicillin; Clarithromycin; Vonoprazan Fumarate","Capsule, Tablet, Tablet","Clarithromycin and Vonoprazan: II (Paddle)","Clarithromycin and Vonoprazan: 50","Amoxicillin: Develop a dissolution method; Clarithromycin: 0.1M Sodium Acetate Buffer (pH 5.0); Vonoprazan: 0.05M Acetate Buffer (pH 4.5)","900","10, 15, 30, 45, 60 and 90","02/05/2024"
"Amoxicillin; Vonoprazan Fumarate","Capsule, Tablet","Vonoprazan: II (Paddle)","Vonoprazan: 50","Amoxicillin: Develop a dissolution method; Vonoprazan: 0.05M Acetate Buffer (pH 4.5)","900","10, 15, 30, 45, 60 and 90","02/05/2024"
"Amphetamine","Suspension (Extended Release)  ","","","Develop a dissolution method","","","12/22/2016"
"Amphetamine","Tablet (Extended  Release, Orally Disintegrating)","II (Paddle ","75","Acid Stage: 0.1 N HCl; Buffer Stage: Phosphate Buffer, pH 6.8","Acid Stage: 900 mL; Buffer Stage: 1000 mL","Acid Stage: 10, 15, 30, 45, 60, 90, 120; Buffer Stage: 5, 10, 15, 30 and 45","07/28/2016"
"Amphetamine Aspartate/Amphetamine Sulfate/Dextroamphetamine Saccharate/Dextroamphetamine Sulfate","Capsule (Extended Release)","II (Paddle)","50","Dilute HCl, pH 1.1 for first 2 hrs, then add 200 mL of 200 mM Phosphate Buffer and adjust to pH 6.0 for the remainder","0-2 hrs: 750 mL.  After 2 hrs: 950 mL","0.5, 1, 2, 3, and 4 hours","07/25/2007"
"Amphetamine Aspartate/Amphetamine Sulfate/Dextroamphetamine Saccharate/Dextroamphetamine Sulfate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Amphetamine Aspartate/Amphetamine Sulfate/Dextroamphetamine Saccharate/Dextroamphetamine Sulfate [12.5, 25, 37.5, 50 mg]","Capsule (Extended Release)","II (Paddle)","50","Media 1: pH 1.1±0.1, Dilute HCl 2 hours; Media 2: pH 6.0±0.1, Phosphate Buffer 3rd hour, Media 3: pH 7.5±0.1, Phosphate Buffer for the remainder","Media 1: 750 mL; Media 2: 950 mL; Media 3: 1000 mL","0.5, 1, 2, 3, 4, 6, 8, 10 and 12 hours","11/16/2017"
"Amphetamine ER","Capsule","II (Paddle)","50","750 ml of dilute HCl, pH 1.1 for the first 2 hours, then add 200 ml of 200 mM phosphate buffer, and adjust to pH 6 (w/ HCl or NaOH) for the remainder","750 ml of dilute HCl, 200 ml of phosphate buffer","1, 2, 3, 4, and 6 hours","08/17/2006"
"Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","Tablet (Extended Release)","II (Paddle)","50","Stage 1: 500 mL of water for 1 hour; Stage 2: 700 mL of 0.001N HCl for next 2 hours (add 200 mL of HCl to Stage 1); Stage 3: 900 mL of Phosphate Buffer, pH 6.8  (add 200 mL of Potassium Phosphate Buffer to Stage 2)","Stage 1: 500; Stage 2: 700; Stage 3: 900","1, 3, 3.17, 3.25, 3.5, 3.75, 4, 6, 8 and 12 hours","05/12/2022"
"Amphotericin B","Injectable (Liposomal)  ","","","Develop a method to characterize in vitro release","","","07/28/2016"
"Ampicillin/Ampicillin Trihydrate","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Ampicillin/Ampicillin Trihydrate","for Oral Suspension","","","Develop a dissolution method","","","09/15/2023"
"Amprenavir","Capsule","II (Paddle)","50","0.1 N HCl","900","10, 15, 30, and 45","02/19/2008"
"Anagrelide HCl","Capsule","I (Basket)","100","0.1 N HCl","900","5, 10, 15, 30 and 45","01/14/2004"
"Anastrozole","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Apalutamide","Tablet","II (Paddle)","75","0.25% sodium lauryl sulfate (SLS)  in 0.05 M Sodium Phosphate Buffer, pH 4.5 (60 mg strength); 0.5% sodium lauryl sulfate (SLS)  in 0.05 M Sodium Phosphate Buffer, pH 4.5 (240 mg strength)","900","5, 10, 15, 20, 30, and 45","02/16/2024"
"Apixaban","Tablet","II (Paddle) ","75","0.05 M Sodium Phosphate Buffer with 0.05% SLS, pH 6.8","900","5, 10, 20, 30 and 45","05/09/2013"
"Apomorphine HCl","Film (Sublingual) ","V (paddle over disk)","75","20mM BIS-TRIS HCl Buffer, pH 6.4","500","2.5, 5, 7.5, 10, 12.5, 15 and 20","08/19/2021"
"Apremilast","Tablet","II (Paddle)","60","0.15% SLS in 25 mM Sodium Phosphate Buffer, pH 6.8","900","10, 15, 20, 30, and 45 ","05/18/2017"
"Aprepitant","Emulsion","","","Develop a method to characterize in vitro release","","","02/05/2024"
"Aprepitant","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Aprepitant","For Oral Suspension  ","","","Develop a dissolution method","","","09/15/2023"
"Aprocitentan","Tablet","II (Paddle)","50","Phosphate Buffer, pH 6.8 w/0.05% CTAB and 0.5% Tween 20","900","10, 15, 20, 30 and 45","02/24/2025"
"Aripiprazole","Suspension (Extended Release)","IV (Flow through Cell) with closed system","4 mL/min","Acetate buffer, pH 5.0","1000","0.5, 0.75, 1, 2, 4, 6, 8, 10, 12, 14, 16 and 18 hours","11/01/2024"
"Aripiprazole","For Intramuscular Suspension (Extended Release)","II (Paddle)","50","0.25% Sodium Dodecyl Sulfate (SDS) Solution","900","10, 15, 30, 60, 120, 180, 240, 300, 360, 420 and 480","06/25/2015"
"Aripiprazole","Tablet ","","","Refer to USP ","","","06/30/2016"
"Aripiprazole","Tablet (Orally Disintegrating)","II (Paddle)","75","Acetate Buffer, pH 4.0","1000","10, 20, 30 and 45","08/11/2008"
"Armodafinil","Tablet","II (Paddle)","50","0.1 N HCl","900","10, 20, 30 and 45","01/14/2008"
"Asciminib HCl","Tablet","II (Paddle)","60","Citrate Buffer, pH 3.0","900","5, 10, 15, 20 and 45","10/06/2023"
"Asenapine","Transdermal","VI (Cylinder)","50","pH 5.1 Acetate Buffer at 32°C","900","1, 2, 3, 4, 6, 8, 10 and 12 hours","04/22/2021"
"Asenapine Maleate","Tablet (Sublingual) ","II (Paddle) ","50","Acetate Buffer, pH 4.5 ","500","1, 2, 3, 4 and 5","05/09/2013"
"Aspirin","Capsule","","","Refer to USP","","","05/28/2015"
"Aspirin","Capsule (Extended Release) ","II (Paddle) with sinker","100","0.05M Potassium Phosphate Buffer (pH 7.4) with trypsin (.001%w/v) and sodium azide (.025% w/v)","900","1, 2, 3, 6, 9, 12, 16, 22 and 30 hours","10/20/2016"
"Aspirin/ Omeprazole","Tablet (Delayed Release) ","I (Basket)","100","Acid Stage: 0.1 N HCl (degassed); Buffer Stage: Phosphate Buffer, pH 6.8 (degassed)","Acid Stage: 900; Buffer Stage: 900","Acid Stage:120; Buffer Stage:10, 20, 30, 45, 60 and 75","12/22/2016"
"Aspirin/Butalbital/Caffeine","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Aspirin/Butalbital/Caffeine","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Aspirin/Butalbital/Caffeine/Codeine Phosphate","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Aspirin/Caffeine/Orphenadrine Citrate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Aspirin/Dipyridamole","Capsule","I (Basket)","100","0.01 N HCl for first hour, 0.1 M Phosphate Buffer, pH 5.5, thereafter","0-1 hrs: 900 mL.  900 mL thereafter","Acid: 10, 20, 30, 45 and 60 min; Buffer:1, 2, 5, and 7 hours","10/09/2007"
"Aspirin/Hydrocodone Bitartrate","Tablet","II (Paddle)","75","Acetate Buffer, pH 4.5","900","10, 20, 30, 45, 60 and 90","01/15/2004"
"Aspirin/Meprobamate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Aspirin/Methocarbamol","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Aspirin/Oxycodone HCl","Tablet","","","Refer to USP ","","","01/15/2010"
"Atazanavir Sulfate","Capsule","II (Paddle)","50","0.025 N HCl","1000","10, 20, 30 and 45","01/20/2006"
"Atazanavir Sulfate/ Cobicistat","Tablet","II (Paddle)","75","0.05 M Citrate Buffer (pH 2.8)","1000","Atazanavir: 10, 15, 20, 30 and  45; Cobicistat: 5, 10, 15, 20 and 30","12/24/2015"
"Atenolol","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Atenolol/Chlorthalidone","Tablet ","","","Refer to USP ","","","02/14/2014"
"Atogepant","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","05/18/2023"
"Atomoxetine HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Atorvastatin Calcium","Suspension","II (Paddle)","75","0.05 M Phosphate Buffer, pH 6.8","900","5, 10, 15 and 30","05/31/2024"
"Atorvastatin Calcium","Tablet","II (Paddle)","75","0.05 M Phosphate buffer, pH 6.8","900","5, 10, 15 and 30","01/15/2004"
"Atorvastatin Calcium/Ezetimibe","Tablet","II (Paddle), with option to use a sinker for 20/10 mg strength","75","Phosphate buffer, pH 6.8 with 0.2% w/v Tween 80","900","5, 10, 15, 20, 30 and 45","05/15/2014"
"Atovaquone","Oral Suspension","","","Develop a dissolution method  ","","","07/21/2009"
"Atovaquone","Tablet","II (Paddle)","50","40% isopropanol buffered to pH 8.0 with potassium dihydrogen phosphate","900","10, 20, 30, 45, 60 and 90","06/18/2007"
"Atovaquone/Proguanil HCl","Tablet","II (Paddle) with PEAK vessels","50","40% isopropranol buffered to pH 8.0 with potassium dihydrogen phosphate","900","15, 30, 45 and 60","08/17/2006"
"Atropine Sulfate/ Diphenoxylate HCl","Tablet ","","","Develop dissolution method(s) to characterize the dissolution of both components","","","12/22/2016"
"Auranofin","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Avacopan","Capsule","II (Paddle) with sinker","50","0.1N HCl","900","10, 20, 30, 45 and 60","10/06/2023"
"Avanafil","Tablet ","II (Paddle)","50","Simulated gastric fluid without pepsin.","900","5, 10, 15, 20 and 30","04/02/2015"
"Avapritinib","Tablet","II (Paddle)","75","0.05 M Sodium Acetate Buffer, pH 5.0 containing 0.5% w/v cetyl trimethylammonium bromide  (CTAB)","900","5, 10, 15, 20, 30, 45, 60, 90 and 120","05/12/2022"
"Axitinib","Tablet ","II (Paddle)","75","0.01 N HCl","900","5, 15, 30, 45 and 60","08/14/2014"
"Azacitidine","Tablet","II (Paddle)","75","50 mM phosphate buffer, pH 6.8","500","5, 10, 15, 20, 30 and 45","11/30/2023"
"Azacitidine","Injectable Suspension","","","Develop a dissolution method","","","09/03/2008"
"Azathioprine","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Azilsartan Kamedoxomil","Tablet","II (Paddle) ","50","Phosphate Buffer, pH 7.8 (deaerated)","900","5, 10, 15, 20, 30 and 45","05/09/2013"
"Azilsartan Kamedoxomil/Chlorthalidone","Tablet","II (Paddle) ","50","Phosphate Buffer, pH 6.8 containing 1.0% Tween 80,","900","5, 10, 15, 20, 30 and 45","05/09/2013"
"Azithromycin","Oral Suspension","II (Paddle)","50","Phosphate buffer, pH 6.0","900","10, 20, 30, and 45","08/17/2006"
"Azithromycin","Tablet ","","","Refer to USP ","","","12/22/2016"
"Azithromycin","Capsule","","","Refer to USP ","","","12/22/2016"
"Azithromycin","Suspension (Extended Release)","II (Paddle)","50","Phosphate Buffer, pH 6.0","900","15, 30,  45, 60, 120 and 180","04/15/2008"
"Baclofen","Tablet (Orally Disintegrating)","II (Paddle)","25","50 mM Acetate Buffer, pH 4.5","500 mL (10 mg) or 1000 mL (20mg)","5, 10, 15 and 30","07/14/2008"
"Baclofen","Granules","II (Paddle)","50","0.01 N HCl","500","5, 10, 15 and 30","02/05/2024"
"Baclofen","Suspension","II (Paddle)","25","0.01 N HCl","500","5, 10, 15, 30, 45 and 60","05/31/2024"
"Baclofen","Tablet","","","Refer to USP","","","12/15/2009"
"Baloxavir Marboxil","For Suspension","II (Paddle)","25","Phosphate Buffer, pH 6.8 containing 0.16% w/v cetyl trimethylammonium bromide (CTAB)","900","5, 10, 15, 20 and 30","02/09/2023"
"Baloxavir Marboxil","Tablet","II (paddle)","50","20 mg:  Phosphate Buffer, pH 6.8 with 0.07% w/v (CTAB); 40 mg: Phosphate Buffer, pH 6.8 with 0.16% w/v  CTAB; 80 mg: Phosphate Buffer, pH 6.8 with 0.40 w/v cetyltrimethylammonium bromide (CTAB)","900","5, 10, 15, 20, 30 and 45","07/07/2023"
"Balsalazide Disodium","Capsule","II (Paddle) with sinker","50","pH 6.8 buffer","900","10, 20, 30, and 45","01/26/2006"
"Balsalazide Disodium","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Baricitinib","Tablet","II (Paddle)","75","Acetate buffer pH 4.5","900","5, 15, 30, 45","03/30/2023"
"Bedaquiline Fumarate","Tablet ","I (Basket)","150","0.01 N HCl","900","10, 15, 20, 30  and 45","06/06/2013"
"Belzutifan","Tablet","II (Paddle)","50","50 mM potassium phosphate buffer at pH 6.5 with 68 mM potassium chloride (@37°C)","900","10, 15, 20, 30, 45 and 60","07/07/2023"
"Bempedoic Acid","Tablet","II (Paddle) ","50","0.05 M Phosphate buffer, pH 6.6","900","5, 10, 15, 20 and 30","08/19/2021"
"Bempedoic Acid/Ezetimibe","Tablet","II (Paddle) ","50","Bempedoic Acid: 0.05 M Phosphate buffer, pH 6.6; Ezetimibe: 0.05M Sodium Acetate Buffer pH 4.5 with 0.45% SLS","900","5, 10, 15, 20, 30, and 45","08/19/2021"
"Benazepril HCl","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Benazepril HCl/Hydrochlorothiazide","Tablet","I (Basket)","100","0.1 N HCl","500","10, 20, 30 and 45","01/16/2004"
"Bendroflumethiazide/Nadolol","Tablet","","","Refer to USP","","","07/25/2007"
"Benzgalantamine Gluconate","Tablet, Delayed Release","I (Basket)","50","Acid Stage: 0.1N HCl; Buffer Stage: 0.05M Sodium Phosphate buffer pH 6.8 with 0.5% SDS","1000","Acid stage: 120; Buffer stage: 15, 20, 30, 45, 60 and 75","06/23/2025"
